Column Name,Data Type,First Value
topic,object,/apollo/sensor/gnss/best_pose
time,int64,1713980657064677508
size,int64,119
msg_type,object,
_id.$oid,object,66310ffd7ae1f4a1c6c6ea61
metadataID.$oid,object,66310ffc7ae1f4a1c6c6e856
header.timestampSec,float64,1713980657.059782
header.moduleName,object,gnss
header.sequenceNum,float64,369.0
measurementTime,float64,1398015875.0
solStatus,object,SOL_COMPUTED
solType,object,NARROW_INT
latitude,float64,39.320530378056446
longitude,float64,-82.11015735571935
heightMsl,float64,218.55521821137518
undulation,float64,-35.0
datumId,object,WGS84
latitudeStdDev,float64,0.014109332
longitudeStdDev,float64,0.012643888
heightStdDev,float64,0.03431445
baseStationId,object,MTY1NQ==
differentialAge,float64,2.0
solutionAge,float64,0.0
numSatsTracked,float64,19.0
numSatsInSolution,float64,16.0
numSatsL1,float64,16.0
numSatsMulti,float64,15.0
extendedSolutionStatus,float64,33.0
galileoBeidouUsedMask,float64,55.0
gpsGlonassUsedMask,float64,7.0
