Column Name,Data Type,First Value
topic,object,/apollo/canbus/chassis
time,int64,1713980655904960169
size,int64,134
msg_type,object,
steeringRate,float64,0.0
gearLocation,object,GEAR_DRIVE
_id.$oid,object,66310ffc7ae1f4a1c6c6e85c
metadataID.$oid,object,66310ffc7ae1f4a1c6c6e856
header.timestampSec,float64,1713980655.904772
header.moduleName,object,canbus
header.sequenceNum,float64,18251.0
engageAdvice.advice,object,READY_TO_ENGAGE
engineStarted,object,True
speedMps,float64,2.7951403
fuelRangeM,float64,0.0
throttlePercentage,float64,0.0
brakePercentage,float64,0.0
steeringPercentage,float64,43.948204
drivingMode,object,COMPLETE_MANUAL
errorCode,object,NO_ERROR
yawRate,float64,0.0
signal.turnSignal,object,TURN_NONE
wheelSpeed.isWheelSpdRrValid,object,True
wheelSpeed.wheelSpdRr,float64,8.115784645080566
wheelSpeed.isWheelSpdRlValid,object,True
wheelSpeed.wheelSpdRl,float64,7.068586349487305
wheelSpeed.isWheelSpdFrValid,object,True
wheelSpeed.wheelSpdFr,float64,8.220504760742188
wheelSpeed.isWheelSpdFlValid,object,True
wheelSpeed.wheelSpdFl,float64,7.278026103973389
