Column Name,Data Type,First Value
topic,object,/apollo/common/latency_records
time,int64,1713980657565346132
size,int64,4850
msg_type,object,
_id.$oid,object,66310ffe7ae1f4a1c6c6ec39
metadataID.$oid,object,66310ffc7ae1f4a1c6c6e856
header.timestampSec,float64,1713980657.5640972
header.moduleName,object,LatencyRecorderMap
header.sequenceNum,float64,94.0
moduleName,object,/apollo/control
latencyRecords,object,"[{'beginTime': '1713980654583893620', 'endTime': '1713980654584076917', 'messageId': '1713980654476925040'}, {'beginTime': '1713980654603904319', 'endTime': '1713980654604139141', 'messageId': '1713980654476925040'}, {'beginTime': '1713980654623880200', 'endTime': '1713980654624083731', 'messageId': '1713980654476925040'}, {'beginTime': '1713980654643891668', 'endTime': '1713980654644111910', 'messageId': '1713980654577121040'}, {'beginTime': '1713980654664042073', 'endTime': '1713980654664572224', 'messageId': '1713980654577121040'}, {'beginTime': '1713980654683859067', 'endTime': '1713980654684035687', 'messageId': '1713980654577121040'}, {'beginTime': '1713980654703895980', 'endTime': '1713980654704167653', 'messageId': '1713980654577121040'}, {'beginTime': '1713980654723920851', 'endTime': '1713980654724240059', 'messageId': '1713980654577121040'}, {'beginTime': '1713980654743878195', 'endTime': '1713980654744099276', 'messageId': '1713980654677312432'}, {'beginTime': '1713980654763894602', 'endTime': '1713980654764056364', 'messageId': '1713980654677312432'}, {'beginTime': '1713980654783863871', 'endTime': '1713980654784089395', 'messageId': '1713980654677312432'}, {'beginTime': '1713980654803922667', 'endTime': '1713980654804127813', 'messageId': '1713980654677312432'}, {'beginTime': '1713980654823922597', 'endTime': '1713980654824187542', 'messageId': '1713980654677312432'}, {'beginTime': '1713980654843898879', 'endTime': '1713980654844129630', 'messageId': '1713980654777513040'}, {'beginTime': '1713980654863942962', 'endTime': '1713980654864349442', 'messageId': '1713980654777513040'}, {'beginTime': '1713980654883900405', 'endTime': '1713980654884133752', 'messageId': '1713980654777513040'}, {'beginTime': '1713980654903896023', 'endTime': '1713980654904116175', 'messageId': '1713980654777513040'}, {'beginTime': '1713980654923911431', 'endTime': '1713980654924149472', 'messageId': '1713980654777513040'}, {'beginTime': '1713980654943884715', 'endTime': '1713980654944062974', 'messageId': '1713980654877710040'}, {'beginTime': '1713980654963895369', 'endTime': '1713980654964095914', 'messageId': '1713980654877710040'}, {'beginTime': '1713980654983872980', 'endTime': '1713980654984061070', 'messageId': '1713980654877710040'}, {'beginTime': '1713980655003906837', 'endTime': '1713980655004105774', 'messageId': '1713980654877710040'}, {'beginTime': '1713980655023920225', 'endTime': '1713980655024202118', 'messageId': '1713980654877710040'}, {'beginTime': '1713980655043903951', 'endTime': '1713980655044143642', 'messageId': '1713980654977906040'}, {'beginTime': '1713980655063957327', 'endTime': '1713980655064446647', 'messageId': '1713980654977906040'}, {'beginTime': '1713980655083864030', 'endTime': '1713980655084048104', 'messageId': '1713980654977906040'}, {'beginTime': '1713980655103867526', 'endTime': '1713980655104105492', 'messageId': '1713980654977906040'}, {'beginTime': '1713980655123917814', 'endTime': '1713980655124255454', 'messageId': '1713980654977906040'}, {'beginTime': '1713980655143867403', 'endTime': '1713980655144078774', 'messageId': '1713980655078103040'}, {'beginTime': '1713980655163872819', 'endTime': '1713980655164044792', 'messageId': '1713980655078103040'}, {'beginTime': '1713980655183864364', 'endTime': '1713980655184060333', 'messageId': '1713980655078103040'}, {'beginTime': '1713980655203898645', 'endTime': '1713980655204090528', 'messageId': '1713980655078103040'}, {'beginTime': '1713980655223915537', 'endTime': '1713980655224155032', 'messageId': '1713980655078103040'}, {'beginTime': '1713980655243873777', 'endTime': '1713980655244048482', 'messageId': '1713980655178297735'}, {'beginTime': '1713980655263917862', 'endTime': '1713980655264191562', 'messageId': '1713980655178297735'}, {'beginTime': '1713980655283899939', 'endTime': '1713980655284108862', 'messageId': '1713980655178297735'}, {'beginTime': '1713980655303900695', 'endTime': '1713980655304127204', 'messageId': '1713980655178297735'}, {'beginTime': '1713980655323891133', 'endTime': '1713980655324198373', 'messageId': '1713980655178297735'}, {'beginTime': '1713980655343898840', 'endTime': '1713980655344117994', 'messageId': '1713980655278496040'}, {'beginTime': '1713980655363897331', 'endTime': '1713980655364072427', 'messageId': '1713980655278496040'}, {'beginTime': '1713980655383876047', 'endTime': '1713980655384106515', 'messageId': '1713980655278496040'}, {'beginTime': '1713980655403865539', 'endTime': '1713980655404037483', 'messageId': '1713980655278496040'}, {'beginTime': '1713980655423913818', 'endTime': '1713980655424226645', 'messageId': '1713980655278496040'}, {'beginTime': '1713980655443899354', 'endTime': '1713980655444085584', 'messageId': '1713980655378692040'}, {'beginTime': '1713980655463939469', 'endTime': '1713980655464372377', 'messageId': '1713980655378692040'}, {'beginTime': '1713980655483914220', 'endTime': '1713980655484132381', 'messageId': '1713980655378692040'}, {'beginTime': '1713980655504659777', 'endTime': '1713980655505012134', 'messageId': '1713980655378692040'}, {'beginTime': '1713980655523917029', 'endTime': '1713980655524204654', 'messageId': '1713980655378692040'}, {'beginTime': '1713980655543895552', 'endTime': '1713980655544093395', 'messageId': '1713980655478888040'}, {'beginTime': '1713980655563882701', 'endTime': '1713980655564063560', 'messageId': '1713980655478888040'}, {'beginTime': '1713980655583895791', 'endTime': '1713980655584080290', 'messageId': '1713980655478888040'}, {'beginTime': '1713980655603890862', 'endTime': '1713980655604102201', 'messageId': '1713980655478888040'}, {'beginTime': '1713980655623897596', 'endTime': '1713980655624076041', 'messageId': '1713980655478888040'}, {'beginTime': '1713980655643862887', 'endTime': '1713980655644038359', 'messageId': '1713980655579085040'}, {'beginTime': '1713980655663871283', 'endTime': '1713980655664090972', 'messageId': '1713980655579085040'}, {'beginTime': '1713980655683891418', 'endTime': '1713980655684096196', 'messageId': '1713980655579085040'}, {'beginTime': '1713980655703865291', 'endTime': '1713980655704129947', 'messageId': '1713980655579085040'}, {'beginTime': '1713980655723892261', 'endTime': '1713980655724099577', 'messageId': '1713980655579085040'}, {'beginTime': '1713980655743884658', 'endTime': '1713980655744071949', 'messageId': '1713980655679281040'}, {'beginTime': '1713980655763891898', 'endTime': '1713980655764053496', 'messageId': '1713980655679281040'}, {'beginTime': '1713980655783870076', 'endTime': '1713980655784078074', 'messageId': '1713980655679281040'}, {'beginTime': '1713980655803899877', 'endTime': '1713980655804105897', 'messageId': '1713980655679281040'}, {'beginTime': '1713980655823900783', 'endTime': '1713980655824100234', 'messageId': '1713980655679281040'}, {'beginTime': '1713980655843853318', 'endTime': '1713980655844028158', 'messageId': '1713980655779477040'}, {'beginTime': '1713980655863936136', 'endTime': '1713980655864264123', 'messageId': '1713980655779477040'}, {'beginTime': '1713980655883918286', 'endTime': '1713980655884206706', 'messageId': '1713980655779477040'}, {'beginTime': '1713980655903906727', 'endTime': '1713980655904125906', 'messageId': '1713980655779477040'}, {'beginTime': '1713980655923896553', 'endTime': '1713980655924227843', 'messageId': '1713980655779477040'}, {'beginTime': '1713980655943895847', 'endTime': '1713980655944136959', 'messageId': '1713980655879674040'}, {'beginTime': '1713980655963858844', 'endTime': '1713980655964049098', 'messageId': '1713980655879674040'}, {'beginTime': '1713980655983867302', 'endTime': '1713980655984143057', 'messageId': '1713980655879674040'}, {'beginTime': '1713980656004602802', 'endTime': '1713980656004834598', 'messageId': '1713980655879674040'}, {'beginTime': '1713980656023910919', 'endTime': '1713980656024152518', 'messageId': '1713980655879674040'}, {'beginTime': '1713980656043905430', 'endTime': '1713980656044114921', 'messageId': '1713980655979870040'}, {'beginTime': '1713980656063911459', 'endTime': '1713980656064253453', 'messageId': '1713980655979870040'}, {'beginTime': '1713980656083895529', 'endTime': '1713980656084081161', 'messageId': '1713980655979870040'}, {'beginTime': '1713980656103952861', 'endTime': '1713980656104202448', 'messageId': '1713980655979870040'}, {'beginTime': '1713980656123918713', 'endTime': '1713980656124301947', 'messageId': '1713980655979870040'}, {'beginTime': '1713980656143880561', 'endTime': '1713980656144138929', 'messageId': '1713980655979870040'}, {'beginTime': '1713980656163850400', 'endTime': '1713980656164067147', 'messageId': '1713980656080063735'}, {'beginTime': '1713980656183901255', 'endTime': '1713980656184078625', 'messageId': '1713980656080063735'}, {'beginTime': '1713980656203883211', 'endTime': '1713980656204055332', 'messageId': '1713980656080063735'}, {'beginTime': '1713980656223887793', 'endTime': '1713980656224110068', 'messageId': '1713980656080063735'}, {'beginTime': '1713980656243868979', 'endTime': '1713980656244059436', 'messageId': '1713980656080063735'}, {'beginTime': '1713980656263902887', 'endTime': '1713980656264098619', 'messageId': '1713980656180262040'}, {'beginTime': '1713980656283907263', 'endTime': '1713980656284102300', 'messageId': '1713980656180262040'}, {'beginTime': '1713980656304169735', 'endTime': '1713980656304397522', 'messageId': '1713980656180262040'}, {'beginTime': '1713980656323904038', 'endTime': '1713980656324147851', 'messageId': '1713980656180262040'}, {'beginTime': '1713980656343902807', 'endTime': '1713980656344144135', 'messageId': '1713980656280459040'}, {'beginTime': '1713980656363879141', 'endTime': '1713980656364065891', 'messageId': '1713980656280459040'}, {'beginTime': '1713980656383878071', 'endTime': '1713980656384066778', 'messageId': '1713980656280459040'}, {'beginTime': '1713980656404675191', 'endTime': '1713980656404941353', 'messageId': '1713980656280459040'}, {'beginTime': '1713980656423920259', 'endTime': '1713980656424205623', 'messageId': '1713980656280459040'}, {'beginTime': '1713980656443854886', 'endTime': '1713980656444004733', 'messageId': '1713980656380655040'}, {'beginTime': '1713980656463907529', 'endTime': '1713980656464195350', 'messageId': '1713980656380655040'}, {'beginTime': '1713980656483860191', 'endTime': '1713980656484053691', 'messageId': '1713980656380655040'}, {'beginTime': '1713980656503901535', 'endTime': '1713980656504103062', 'messageId': '1713980656380655040'}, {'beginTime': '1713980656523909769', 'endTime': '1713980656524153540', 'messageId': '1713980656380655040'}, {'beginTime': '1713980656543905127', 'endTime': '1713980656544099419', 'messageId': '1713980656480851040'}, {'beginTime': '1713980656563900463', 'endTime': '1713980656564070889', 'messageId': '1713980656480851040'}, {'beginTime': '1713980656583889928', 'endTime': '1713980656584073784', 'messageId': '1713980656480851040'}, {'beginTime': '1713980656603898079', 'endTime': '1713980656604102568', 'messageId': '1713980656480851040'}, {'beginTime': '1713980656623878595', 'endTime': '1713980656624141845', 'messageId': '1713980656480851040'}, {'beginTime': '1713980656643899700', 'endTime': '1713980656644101670', 'messageId': '1713980656480851040'}, {'beginTime': '1713980656663896168', 'endTime': '1713980656664107712', 'messageId': '1713980656581045735'}, {'beginTime': '1713980656683893291', 'endTime': '1713980656684081579', 'messageId': '1713980656581045735'}, {'beginTime': '1713980656703902160', 'endTime': '1713980656704160613', 'messageId': '1713980656581045735'}, {'beginTime': '1713980656724760808', 'endTime': '1713980656725111386', 'messageId': '1713980656581045735'}, {'beginTime': '1713980656743857101', 'endTime': '1713980656744017036', 'messageId': '1713980656681244040'}, {'beginTime': '1713980656763895740', 'endTime': '1713980656764085787', 'messageId': '1713980656681244040'}, {'beginTime': '1713980656783892191', 'endTime': '1713980656784078975', 'messageId': '1713980656681244040'}, {'beginTime': '1713980656803887444', 'endTime': '1713980656804122472', 'messageId': '1713980656681244040'}, {'beginTime': '1713980656823875858', 'endTime': '1713980656824128643', 'messageId': '1713980656681244040'}, {'beginTime': '1713980656843855573', 'endTime': '1713980656844016893', 'messageId': '1713980656781440040'}, {'beginTime': '1713980656863879942', 'endTime': '1713980656864113405', 'messageId': '1713980656781440040'}, {'beginTime': '1713980656883899305', 'endTime': '1713980656884096951', 'messageId': '1713980656781440040'}, {'beginTime': '1713980656903902356', 'endTime': '1713980656904159654', 'messageId': '1713980656781440040'}, {'beginTime': '1713980656923894394', 'endTime': '1713980656924256587', 'messageId': '1713980656781440040'}, {'beginTime': '1713980656943884038', 'endTime': '1713980656944149068', 'messageId': '1713980656781440040'}, {'beginTime': '1713980656963927246', 'endTime': '1713980656964204960', 'messageId': '1713980656881636040'}, {'beginTime': '1713980656983926612', 'endTime': '1713980656984289913', 'messageId': '1713980656881636040'}, {'beginTime': '1713980657003885930', 'endTime': '1713980657004126267', 'messageId': '1713980656881636040'}, {'beginTime': '1713980657023955417', 'endTime': '1713980657024334680', 'messageId': '1713980656881636040'}, {'beginTime': '1713980657043906883', 'endTime': '1713980657044117904', 'messageId': '1713980656881636040'}, {'beginTime': '1713980657063881350', 'endTime': '1713980657064145214', 'messageId': '1713980656981830735'}, {'beginTime': '1713980657083897672', 'endTime': '1713980657084078453', 'messageId': '1713980656981830735'}, {'beginTime': '1713980657104023915', 'endTime': '1713980657104296280', 'messageId': '1713980656981830735'}, {'beginTime': '1713980657123916183', 'endTime': '1713980657124146685', 'messageId': '1713980656981830735'}, {'beginTime': '1713980657143896517', 'endTime': '1713980657144104026', 'messageId': '1713980657082029040'}, {'beginTime': '1713980657163864154', 'endTime': '1713980657164082260', 'messageId': '1713980657082029040'}, {'beginTime': '1713980657183899235', 'endTime': '1713980657184128508', 'messageId': '1713980657082029040'}, {'beginTime': '1713980657203898551', 'endTime': '1713980657204075614', 'messageId': '1713980657082029040'}, {'beginTime': '1713980657223900370', 'endTime': '1713980657224170609', 'messageId': '1713980657082029040'}, {'beginTime': '1713980657243891700', 'endTime': '1713980657244108660', 'messageId': '1713980657182225040'}, {'beginTime': '1713980657263898239', 'endTime': '1713980657264104650', 'messageId': '1713980657182225040'}, {'beginTime': '1713980657283899001', 'endTime': '1713980657284065510', 'messageId': '1713980657182225040'}, {'beginTime': '1713980657303892988', 'endTime': '1713980657304079391', 'messageId': '1713980657182225040'}, {'beginTime': '1713980657323852084', 'endTime': '1713980657324065633', 'messageId': '1713980657182225040'}, {'beginTime': '1713980657343867651', 'endTime': '1713980657344040789', 'messageId': '1713980657282422040'}, {'beginTime': '1713980657363895500', 'endTime': '1713980657364079306', 'messageId': '1713980657282422040'}, {'beginTime': '1713980657383871817', 'endTime': '1713980657384084313', 'messageId': '1713980657282422040'}, {'beginTime': '1713980657403903148', 'endTime': '1713980657404125935', 'messageId': '1713980657282422040'}, {'beginTime': '1713980657423882803', 'endTime': '1713980657424110029', 'messageId': '1713980657282422040'}, {'beginTime': '1713980657443896305', 'endTime': '1713980657444051853', 'messageId': '1713980657382618040'}, {'beginTime': '1713980657463862439', 'endTime': '1713980657464060234', 'messageId': '1713980657382618040'}, {'beginTime': '1713980657483883923', 'endTime': '1713980657484096211', 'messageId': '1713980657382618040'}, {'beginTime': '1713980657503893679', 'endTime': '1713980657504084942', 'messageId': '1713980657382618040'}, {'beginTime': '1713980657523912071', 'endTime': '1713980657524239242', 'messageId': '1713980657382618040'}, {'beginTime': '1713980657543909111', 'endTime': '1713980657544177151', 'messageId': '1713980657382618040'}, {'beginTime': '1713980657563897704', 'endTime': '1713980657564092850', 'messageId': '1713980657482814040'}]"
